organization,service,contact_number
ReserveBankofIndia,Bank,11 23325225
ReserveBankofIndia,Bank,11 23711250
ReserveBankofIndia,Bank,22661872
ReserveBankofIndia,Bank,22610405
ReserveBankofIndia,Bank,22621382
ReserveBankofIndia,Bank,22624090
ReserveBankofIndia,Bank,22611097
ReserveBankofIndia,Bank,22700933
ReserveBankofIndia,Bank,22633146
ReserveBankofIndia,Bank,22630699
ReserveBankofIndia,Bank,22614228
ReserveBankofIndia,Bank,22704222
StateBankofIndia,Bank,18001234
StateBankofIndia,Bank,18002100
StateBankofIndia,Bank,1800 112211
StateBankofIndia,Bank,18004253800
StateBankofIndia,Bank,9449112211
ICICIBank,Bank,2233667777
ICICIBank,Bank,18001080
ICICIBank,Bank,18601207777
HDFCBank,Bank,18002026161
HDFCBank,Bank,18602676161
HDFCBank,Bank,2261717606
HindustanTimes,1160004242
HindustanTimes,Newspaper,18001031800
HindustanTimes,Newspaper,1160004242
TheHindu,Newspaper,4428576300
TheHindu,Newspaper,18001021878
ApolloHospitals,Hospitals,18605001066
ApolloHospitals,Hospitals,4043441066
FortisHealthcare,Hospitals,1244921021
FortisHealthcare,Hospitals,1244921041
State Bank of India,Banking,1800112211
ICICI Bank,Banking,18002035285
HDFC Bank,Banking,18002035235  
Bajaj Finserv,Financial Services,1800222244 
TATA AIA Life Insurance,Insurance,18002667766
Max Bupa Health Insurance,Insurance,180010303344
PNB Housing Finance Ltd,Financial Services,18002001100 
Vodafone Idea,Telecom,199243808080  
Bharti Airtel,Telecom,19100422222
Reliance Retail Ltd,Retail,8754338844
DMart,Retail,18002333444  
Myntra,Ecommerce,18001230090  
Swiggy,Food Delivery,1800921800
Uber,Ride Sharing,18602100000 
Ola Cabs,Ride Sharing,33553355 
Pizza Hut,Restaurant,18602100000
VLCC,Wellness & Beauty,18001028282
Appolo 24/7,Pharmaceutical,18001027272  
HP Gas,Gas Agency,18002333555
Bharat Gas,Gas Agency,18002333555   
Indian Oil Corporation Ltd,Oil Company,19900645545
Adani Gas Ltd,Gas Company,18002658686  
Fullerton India Credit Co. Ltd.,Financial Services,18002770787 
Shriram Finance Ltd,Financial Services,18602580000
PNB Metlife India Insurance Co. Ltd.,Insurance,1800221221
Star Health and Allied Insurance Co Ltd,Insurance,180030087777   
Reliance General Insurance Co. Ltd.,Insurance,18003009  
LIC India,Insurance Corporation,18002584455
IndiGo,Airlines,1 800 180 3838  
Air Asia,Airlines,1860 500 8000 
Amazon Pay,E-Wallet,18002029831
Phonepe (),E-Payment Wallet,180010322456
Cleartrip,Online Travel Services,1800 200 1800
Yatra.com,Online Travel Services,1800 113 800 
Spice Jet,Budget Airline,1800 180 3333
Air India,Full Service Airlines,18001801407
OYO Rooms,Budget Hotel Aggregator Platform,18605004646 
Hiiku Tours & Travels,Tour Package Provider, 7703814760
Balmer Lawrie & Co. Ltd.,Logistics Services,033 – 24500532
Safari Bags,Luggage Manufacturer,8130847634  
Bharti AXA General Insurance,Insurance,18002663100
IFFCO Tokio General Insurance,Insurance,18001035555
HDFC Ergo General Insurance,Insurance,18002744787  
Acko General Insurance,Insurance,18602662256
Care Health Insurance,Insurance, 18001024773
Star Union Dai-ichi Life Insurance,Insurance 18002008833
IndiaFirst Life Insurance,Insurance 18002096090
Go Digit General Insurance,Insurance 18002585025   
Coverfox Insurance Broking,Insurance 18001225858 
Policy Bazaar Insurance Web Aggregator,Insurance,18005015726  
Wakefit Bedding Solutions,Furniture & Home Products,8861002284
Sleepyhead Mattresses,Mattresses & Furnishings, 8448444440
Featherlite Furniture,Office Furniture,1800 1212 5757  
Nilkamal Plastic Furniture,Plastic Furniture,24396750/1/2/3 +91 22 2161 5731
Homecentre Home Retail,Home Products Retail,+91 9560952155  
Max Fashion Apparel Retail,Apparel & Fashion, 1860-500-6235
Shoppers Stop Retail,Apparel & Fashion,1800 266 6166 
Pantaloons Apparel Retail,Apparel & Fashion Clothing And Accessories Retail,41902100
InfiBeam Retail,Online Retail Marketplace,079 – 61600500
1MG Online Pharmacy Retailing,Online Pharmacy,+91 92 92 92 63 63
Netmeds Online Medicine Ordering,Pharma Products Retailing,+91 9560989560 
Licious Online Meat Ordering Platform,Meat & Seafood Retailing,+91-89289 80400 
Big Basket Online Grocery Delivery,Grocery Retailing, 1800 3001 4004
Grofers Online Grocery Retailing Platform,Grocery Retail,+91 9322000313
Milk Basket Online Milk Delivery Platform, Milk Products Retailing,+91 8041256789
Godrej Nature's Basket Upscale Grocery Shoppe Retailing,Grocery Retailing,1800 419 2424
Vegrow AgriProducts Supply Chain Company,Farm Produce Supply Chain,040 40747474
Udaan Online Wholesale Marketplace Platform,Wholesale Marketplace,18002029831  
91mobiles Online Tech Product Review Site,Technology Product Reviews,+91 922559228
More Retail Supermarket Chain,Supermarket,+91 22 66316600
Star Bazaar Hypermarket Retail Chain,Supermarket,1800 2000 123
Reliance Smart Supermarket,Supermarket,+91 22 39859999
Big Bazaar Hypermarket Chain,Hypermarket,1800-209-9898
Spencers Hyper Store,Hypermarket,+91 44 4500 4567  
Apollo 24 Hour Pharmacy,Pharmacy, 1860 500 1066
Guardian Pharmacy,Pharmacy,+91 22 6210 6210  
Medplus Pharmacy Retail,Pharmacy,04068146312
99acres Property Classifieds,Real Estate,+91 124 4445 545
Magicbricks Property Classifieds Platform,Real Estate Broker,+91 96 5266 7773
Housing.com Real Estate Listings Portal,Real Estate Marketing,+91 120 4612777  
OYO Home Rental Aggregator Platform,Home Rental,7303407703  
QuikrHome Rental Platform,Rentals,+91 9560909455
NoBroker Rental Marketplace,Rentals,+91 7308798092 +91 7738797975
CredR Certified Online Used Auto Marketplace,Used Automobiles,+91 8398474263 
Spinny Online Platform For Used Cars,Used Cars,180010256565 
Cardekho Online Auto Classifieds,Auto Classifieds,+91 9225597979
Zoomcar Car Rentals,Car Rentals 1800 102 1050
Revv Self Drive Car Rentals,Car Rentals 1800 4191 090 / +91 8826363131 
Yaantra Appliance Repair Services,Appliance Repair,18001025460  
Urban Clap Home Services Marketplace Platform,Home Services,+91 8880855537
Jugnoo Auto Rickshaw Aggregator,Transport Services,+91 7291981122
Porter Goods Shifting Services,Logistics Services,+91 9871354959 
Delhivery Logistics Services,Logistics Company,+91 9350173985 
Blue Dart Express Logistics Company,Courier Company,1800 3000 8398 
